"Label (Grouping)","Total:","Total:!!Built 2020 or later","Total:!!Built 2010 to 2019","Total:!!Built 2000 to 2009","Total:!!Built 1990 to 1999","Total:!!Built 1980 to 1989","Total:!!Built 1970 to 1979","Total:!!Built 1960 to 1969","Total:!!Built 1950 to 1959","Total:!!Built 1940 to 1949","Total:!!Built 1939 or earlier"
"Adams County, Illinois","","","","","","","","","","",""
"    Estimate","30,283","86","1,413","2,347","2,848","2,122","4,090","3,814","4,217","2,199","7,147"
"Alexander County, Illinois","","","","","","","","","","",""
"    Estimate","2,964","0","149","150","377","261","525","394","261","249","598"
"Bond County, Illinois","","","","","","","","","","",""
"    Estimate","6,892","12","396","880","953","646","900","685","389","605","1,426"
"Boone County, Illinois","","","","","","","","","","",""
"    Estimate","20,238","106","772","4,094","3,630","1,625","2,718","1,537","1,471","580","3,705"
"Brown County, Illinois","","","","","","","","","","",""
"    Estimate","2,321","12","73","198","260","107","370","142","232","187","740"
"Bureau County, Illinois","","","","","","","","","","",""
"    Estimate","15,646","13","399","839","1,035","907","2,307","1,774","1,782","1,387","5,203"
"Calhoun County, Illinois","","","","","","","","","","",""
"    Estimate","2,298","5","55","267","337","211","245","177","154","67","780"
"Carroll County, Illinois","","","","","","","","","","",""
"    Estimate","8,190","12","191","737","824","680","775","746","899","584","2,742"
"Cass County, Illinois","","","","","","","","","","",""
"    Estimate","5,665","42","117","467","730","429","879","633","533","430","1,405"
"Champaign County, Illinois","","","","","","","","","","",""
"    Estimate","94,351","706","11,696","13,924","11,714","11,028","13,258","10,006","8,136","3,030","10,853"
"Christian County, Illinois","","","","","","","","","","",""
"    Estimate","15,190","27","302","922","1,522","1,101","2,753","1,443","1,429","914","4,777"
"Clark County, Illinois","","","","","","","","","","",""
"    Estimate","7,333","0","382","720","459","825","1,234","905","719","360","1,729"
"Clay County, Illinois","","","","","","","","","","",""
"    Estimate","6,147","21","467","611","983","540","667","582","706","435","1,135"
"Clinton County, Illinois","","","","","","","","","","",""
"    Estimate","15,677","98","936","2,193","1,795","2,017","2,682","1,589","1,349","793","2,225"
"Coles County, Illinois","","","","","","","","","","",""
"    Estimate","22,717","35","1,007","1,710","2,686","2,367","3,565","2,314","2,718","1,037","5,278"
"Cook County, Illinois","","","","","","","","","","",""
"    Estimate","2,270,349","7,617","92,794","174,889","143,888","168,009","280,324","285,461","327,665","155,239","634,463"
"Crawford County, Illinois","","","","","","","","","","",""
"    Estimate","8,461","12","463","650","849","629","1,207","804","1,254","746","1,847"
"Cumberland County, Illinois","","","","","","","","","","",""
"    Estimate","4,720","11","207","455","518","419","668","617","508","370","947"
"DeKalb County, Illinois","","","","","","","","","","",""
"    Estimate","41,499","172","1,449","9,023","5,912","3,135","6,402","4,637","2,956","1,201","6,612"
"De Witt County, Illinois","","","","","","","","","","",""
"    Estimate","7,312","18","224","484","456","513","1,194","853","829","596","2,145"
"Douglas County, Illinois","","","","","","","","","","",""
"    Estimate","8,492","57","495","730","962","559","1,226","990","1,007","342","2,124"
"DuPage County, Illinois","","","","","","","","","","",""
"    Estimate","366,099","1,866","16,293","31,689","54,189","63,181","84,288","48,390","36,961","9,457","19,785"
"Edgar County, Illinois","","","","","","","","","","",""
"    Estimate","8,236","10","327","689","619","561","1,471","770","964","473","2,352"
"Edwards County, Illinois","","","","","","","","","","",""
"    Estimate","3,045","16","171","257","176","292","557","243","384","285","664"
"Effingham County, Illinois","","","","","","","","","","",""
"    Estimate","15,336","159","1,322","1,508","2,334","1,816","2,676","1,165","1,286","816","2,254"
"Fayette County, Illinois","","","","","","","","","","",""
"    Estimate","8,849","33","476","743","1,083","844","1,304","849","1,031","501","1,985"
"Ford County, Illinois","","","","","","","","","","",""
"    Estimate","6,263","40","218","213","310","356","797","646","1,088","382","2,213"
"Franklin County, Illinois","","","","","","","","","","",""
"    Estimate","18,468","65","817","1,464","1,623","1,511","2,670","2,130","2,189","1,929","4,070"
"Fulton County, Illinois","","","","","","","","","","",""
"    Estimate","15,883","6","518","970","1,005","966","2,890","1,468","2,312","1,073","4,675"
"Gallatin County, Illinois","","","","","","","","","","",""
"    Estimate","2,506","0","137","155","174","257","577","373","247","207","379"
"Greene County, Illinois","","","","","","","","","","",""
"    Estimate","5,801","16","196","229","529","438","694","606","516","399","2,178"
"Grundy County, Illinois","","","","","","","","","","",""
"    Estimate","21,324","315","1,965","5,313","3,116","1,710","3,117","1,495","1,061","730","2,502"
"Hamilton County, Illinois","","","","","","","","","","",""
"    Estimate","3,809","26","308","208","466","484","436","321","538","456","566"
"Hancock County, Illinois","","","","","","","","","","",""
"    Estimate","8,959","14","339","507","764","681","1,602","869","877","424","2,882"
"Hardin County, Illinois","","","","","","","","","","",""
"    Estimate","2,285","0","98","176","290","390","268","256","212","184","411"
"Henderson County, Illinois","","","","","","","","","","",""
"    Estimate","3,374","4","76","246","472","392","739","305","207","156","777"
"Henry County, Illinois","","","","","","","","","","",""
"    Estimate","22,208","83","407","1,320","1,582","1,233","4,047","2,786","2,517","1,695","6,538"
"Iroquois County, Illinois","","","","","","","","","","",""
"    Estimate","12,818","2","250","766","939","900","2,196","1,404","1,736","873","3,752"
"Jackson County, Illinois","","","","","","","","","","",""
"    Estimate","27,750","55","1,497","3,047","3,554","3,466","5,140","4,288","2,465","1,445","2,793"
"Jasper County, Illinois","","","","","","","","","","",""
"    Estimate","4,227","10","310","618","505","342","568","261","517","409","687"
"Jefferson County, Illinois","","","","","","","","","","",""
"    Estimate","16,650","99","840","1,832","2,545","2,102","3,006","1,317","1,904","1,126","1,879"
"Jersey County, Illinois","","","","","","","","","","",""
"    Estimate","9,884","63","434","1,686","979","1,075","1,313","1,011","1,011","424","1,888"
"Jo Daviess County, Illinois","","","","","","","","","","",""
"    Estimate","13,425","91","539","1,660","1,973","1,680","1,740","1,000","696","693","3,353"
"Johnson County, Illinois","","","","","","","","","","",""
"    Estimate","5,538","39","516","1,042","843","667","955","586","259","312","319"
"Kane County, Illinois","","","","","","","","","","",""
"    Estimate","189,918","1,558","12,431","39,832","30,779","17,649","22,753","18,305","16,868","5,615","24,128"
"Kankakee County, Illinois","","","","","","","","","","",""
"    Estimate","45,396","60","1,786","5,544","4,843","3,401","8,307","6,366","5,053","2,932","7,104"
"Kendall County, Illinois","","","","","","","","","","",""
"    Estimate","45,775","992","4,086","19,345","7,287","2,768","3,924","2,974","1,724","622","2,053"
"Knox County, Illinois","","","","","","","","","","",""
"    Estimate","23,788","14","712","979","1,508","1,017","4,428","1,855","3,520","1,204","8,551"
"Lake County, Illinois","","","","","","","","","","",""
"    Estimate","270,083","960","12,564","39,852","50,381","39,869","41,968","25,259","26,502","9,390","23,338"
"LaSalle County, Illinois","","","","","","","","","","",""
"    Estimate","49,838","233","1,320","4,599","4,985","3,172","7,017","4,970","7,453","3,532","12,557"
"Lawrence County, Illinois","","","","","","","","","","",""
"    Estimate","6,358","6","309","389","615","510","802","809","801","282","1,835"
"Lee County, Illinois","","","","","","","","","","",""
"    Estimate","14,993","31","470","1,167","1,592","867","2,128","1,509","1,777","887","4,565"
"Livingston County, Illinois","","","","","","","","","","",""
"    Estimate","15,930","145","432","923","1,263","1,168","2,183","2,004","1,558","1,316","4,938"
"Logan County, Illinois","","","","","","","","","","",""
"    Estimate","11,984","4","218","692","968","822","2,074","1,934","1,545","676","3,051"
"McDonough County, Illinois","","","","","","","","","","",""
"    Estimate","13,598","13","501","1,245","1,099","947","2,325","1,730","1,233","729","3,776"
"McHenry County, Illinois","","","","","","","","","","",""
"    Estimate","120,605","615","4,975","24,905","27,717","15,619","16,473","8,190","8,917","3,237","9,957"
"McLean County, Illinois","","","","","","","","","","",""
"    Estimate","75,120","335","5,031","12,446","12,655","7,538","12,751","6,795","4,681","2,638","10,250"
"Macon County, Illinois","","","","","","","","","","",""
"    Estimate","49,699","131","1,116","2,714","4,231","3,800","8,277","7,122","9,107","3,936","9,265"
"Macoupin County, Illinois","","","","","","","","","","",""
"    Estimate","21,108","60","973","1,913","2,408","1,405","2,971","1,854","1,986","1,982","5,556"
"Madison County, Illinois","","","","","","","","","","",""
"    Estimate","118,942","693","6,142","13,510","13,900","10,722","15,137","15,153","17,151","9,094","17,440"
"Marion County, Illinois","","","","","","","","","","",""
"    Estimate","17,379","24","884","1,748","2,303","1,823","2,798","1,943","1,902","1,533","2,421"
"Marshall County, Illinois","","","","","","","","","","",""
"    Estimate","5,824","3","121","492","347","417","1,079","566","644","476","1,679"
"Mason County, Illinois","","","","","","","","","","",""
"    Estimate","6,615","10","215","346","442","335","1,421","646","896","419","1,885"
"Massac County, Illinois","","","","","","","","","","",""
"    Estimate","6,824","3","243","766","1,092","814","1,042","845","912","251","856"
"Menard County, Illinois","","","","","","","","","","",""
"    Estimate","5,602","3","308","596","932","575","782","491","360","229","1,326"
"Mercer County, Illinois","","","","","","","","","","",""
"    Estimate","7,279","15","219","462","609","324","1,276","757","670","475","2,472"
"Monroe County, Illinois","","","","","","","","","","",""
"    Estimate","14,665","97","1,606","3,040","2,652","1,241","1,523","1,425","1,096","628","1,357"
"Montgomery County, Illinois","","","","","","","","","","",""
"    Estimate","12,528","56","582","928","1,161","891","1,652","1,333","1,453","986","3,486"
"Morgan County, Illinois","","","","","","","","","","",""
"    Estimate","15,033","52","484","1,006","1,682","851","2,549","2,055","1,702","865","3,787"
"Moultrie County, Illinois","","","","","","","","","","",""
"    Estimate","6,205","40","248","695","641","366","935","647","643","405","1,585"
"Ogle County, Illinois","","","","","","","","","","",""
"    Estimate","22,625","106","529","2,823","2,610","2,126","3,870","2,620","2,176","1,134","4,631"
"Peoria County, Illinois","","","","","","","","","","",""
"    Estimate","84,992","225","3,361","8,772","6,769","5,218","13,900","10,909","11,901","6,110","17,827"
"Perry County, Illinois","","","","","","","","","","",""
"    Estimate","9,166","19","395","956","777","1,363","1,496","723","772","843","1,822"
"Piatt County, Illinois","","","","","","","","","","",""
"    Estimate","7,380","0","386","797","809","641","1,298","875","699","329","1,546"
"Pike County, Illinois","","","","","","","","","","",""
"    Estimate","7,296","4","221","529","591","447","890","974","838","522","2,280"
"Pope County, Illinois","","","","","","","","","","",""
"    Estimate","2,273","0","177","450","490","340","277","101","84","73","281"
"Pulaski County, Illinois","","","","","","","","","","",""
"    Estimate","2,845","1","124","279","262","328","354","475","210","246","566"
"Putnam County, Illinois","","","","","","","","","","",""
"    Estimate","3,069","0","97","436","376","335","542","257","211","151","664"
"Randolph County, Illinois","","","","","","","","","","",""
"    Estimate","13,400","42","763","1,108","1,561","1,394","2,386","1,302","1,505","1,039","2,300"
"Richland County, Illinois","","","","","","","","","","",""
"    Estimate","7,366","44","362","638","693","838","1,507","698","818","403","1,365"
"Rock Island County, Illinois","","","","","","","","","","",""
"    Estimate","66,742","218","2,460","4,274","3,837","4,813","9,618","10,193","10,056","6,069","15,204"
"St. Clair County, Illinois","","","","","","","","","","",""
"    Estimate","115,348","721","8,051","15,884","14,359","12,501","12,391","13,606","16,027","6,372","15,436"
"Saline County, Illinois","","","","","","","","","","",""
"    Estimate","11,578","29","765","910","1,062","1,139","1,848","1,101","1,172","1,567","1,985"
"Sangamon County, Illinois","","","","","","","","","","",""
"    Estimate","93,151","115","5,193","8,567","11,958","8,525","17,247","11,095","9,701","5,873","14,877"
"Schuyler County, Illinois","","","","","","","","","","",""
"    Estimate","3,317","19","226","258","281","249","699","304","255","256","770"
"Scott County, Illinois","","","","","","","","","","",""
"    Estimate","2,393","1","119","183","201","111","309","358","176","128","807"
"Shelby County, Illinois","","","","","","","","","","",""
"    Estimate","10,054","22","388","840","1,089","920","1,337","882","1,106","629","2,841"
"Stark County, Illinois","","","","","","","","","","",""
"    Estimate","2,584","3","88","64","159","114","458","278","354","198","868"
"Stephenson County, Illinois","","","","","","","","","","",""
"    Estimate","21,375","22","396","1,427","2,118","1,623","2,755","2,203","2,581","1,037","7,213"
"Tazewell County, Illinois","","","","","","","","","","",""
"    Estimate","58,664","203","2,973","5,312","4,586","3,283","11,890","8,169","8,684","4,480","9,084"
"Union County, Illinois","","","","","","","","","","",""
"    Estimate","7,861","3","430","1,080","917","865","1,356","551","677","545","1,437"
"Vermilion County, Illinois","","","","","","","","","","",""
"    Estimate","34,390","100","966","1,430","2,454","2,921","4,706","3,792","3,585","1,973","12,463"
"Wabash County, Illinois","","","","","","","","","","",""
"    Estimate","5,416","1","220","307","423","771","901","335","669","471","1,318"
"Warren County, Illinois","","","","","","","","","","",""
"    Estimate","7,598","4","132","424","296","403","1,257","874","1,017","555","2,636"
"Washington County, Illinois","","","","","","","","","","",""
"    Estimate","6,402","76","294","560","598","651","1,015","783","683","376","1,366"
"Wayne County, Illinois","","","","","","","","","","",""
"    Estimate","7,699","23","532","868","936","745","1,123","508","1,066","674","1,224"
"White County, Illinois","","","","","","","","","","",""
"    Estimate","6,751","25","188","313","526","655","1,021","724","886","1,057","1,356"
"Whiteside County, Illinois","","","","","","","","","","",""
"    Estimate","25,850","49","793","1,684","1,761","1,482","4,252","3,016","4,293","1,867","6,653"
"Will County, Illinois","","","","","","","","","","",""
"    Estimate","252,684","1,716","14,221","64,533","55,484","22,720","34,327","19,929","16,117","5,984","17,653"
"Williamson County, Illinois","","","","","","","","","","",""
"    Estimate","31,957","209","3,578","4,748","4,129","3,597","4,574","2,805","2,030","1,739","4,548"
"Winnebago County, Illinois","","","","","","","","","","",""
"    Estimate","124,959","292","2,542","13,607","15,330","13,433","18,670","16,042","17,729","8,048","19,266"
"Woodford County, Illinois","","","","","","","","","","",""
"    Estimate","15,745","38","925","2,052","1,884","1,239","2,466","1,575","1,909","826","2,831"