"Label (Grouping)","Total:","Total:!!With a disability:","Total:!!With a disability:!!With a hearing difficulty","Total:!!With a disability:!!With a vision difficulty","Total:!!With a disability:!!With a cognitive difficulty","Total:!!With a disability:!!With an ambulatory difficulty","Total:!!With a disability:!!With a self-care difficulty","Total:!!With a disability:!!With an independent living difficulty","Total:!!No disability"
"Adams County, Illinois","","","","","","","","",""
"    Estimate","63,344","12,592","2,874","4,766","4,093","4,167","1,502","2,842","50,752"
"Boone County, Illinois","","","","","","","","",""
"    Estimate","52,924","7,074","2,797","1,402","1,678","2,866","767","2,478","45,850"
"Bureau County, Illinois","","","","","","","","",""
"    Estimate","32,292","4,701","1,540","495","1,526","2,372","767","1,504","27,591"
"Champaign County, Illinois","","","","","","","","",""
"    Estimate","203,352","21,185","4,077","1,994","9,041","9,811","4,264","7,872","182,167"
"Christian County, Illinois","","","","","","","","",""
"    Estimate","31,513","4,883","1,730","921","1,843","2,559","678","1,754","26,630"
"Clinton County, Illinois","","","","","","","","",""
"    Estimate","34,294","4,482","1,274","1,135","1,168","1,933","512","1,178","29,812"
"Coles County, Illinois","","","","","","","","",""
"    Estimate","45,297","6,107","1,591","621","2,472","2,965","1,234","1,854","39,190"
"Cook County, Illinois","","","","","","","","",""
"    Estimate","5,043,278","614,297","132,486","121,628","234,722","313,494","118,529","237,319","4,428,981"
"DeKalb County, Illinois","","","","","","","","",""
"    Estimate","99,662","10,826","2,018","2,039","5,167","3,951","1,666","3,799","88,836"
"DuPage County, Illinois","","","","","","","","",""
"    Estimate","915,004","81,830","24,343","13,099","26,609","38,036","13,890","30,488","833,174"
"Effingham County, Illinois","","","","","","","","",""
"    Estimate","33,966","4,484","1,795","480","1,605","1,951","737","1,803","29,482"
"Fayette County, Illinois","","","","","","","","",""
"    Estimate","20,256","3,221","1,376","462","1,219","1,523","654","1,571","17,035"
"Franklin County, Illinois","","","","","","","","",""
"    Estimate","36,695","8,541","2,401","2,110","3,878","4,471","1,751","3,276","28,154"
"Fulton County, Illinois","","","","","","","","",""
"    Estimate","30,358","4,791","1,391","709","1,491","2,517","737","1,385","25,567"
"Grundy County, Illinois","","","","","","","","",""
"    Estimate","53,359","5,222","1,281","988","2,170","2,246","1,302","2,424","48,137"
"Henry County, Illinois","","","","","","","","",""
"    Estimate","47,818","5,758","1,856","771","1,653","3,262","1,113","1,968","42,060"
"Iroquois County, Illinois","","","","","","","","",""
"    Estimate","25,737","3,564","984","419","1,014","1,677","590","1,367","22,173"
"Jackson County, Illinois","","","","","","","","",""
"    Estimate","51,528","10,324","2,040","2,396","5,026","4,977","2,150","4,270","41,204"
"Jefferson County, Illinois","","","","","","","","",""
"    Estimate","35,266","6,054","1,859","1,171","2,252","2,751","1,000","1,852","29,212"
"Jersey County, Illinois","","","","","","","","",""
"    Estimate","20,725","2,282","622","477","856","983","269","680","18,443"
"Jo Daviess County, Illinois","","","","","","","","",""
"    Estimate","21,510","2,956","582","420","994","1,501","658","950","18,554"
"Kane County, Illinois","","","","","","","","",""
"    Estimate","511,152","54,057","14,969","9,042","20,682","22,155","8,667","19,775","457,095"
"Kankakee County, Illinois","","","","","","","","",""
"    Estimate","104,454","15,439","3,165","2,182","5,428","8,081","3,330","6,122","89,015"
"Kendall County, Illinois","","","","","","","","",""
"    Estimate","139,574","14,796","3,496","2,497","4,482","6,336","2,411","4,833","124,778"
"Knox County, Illinois","","","","","","","","",""
"    Estimate","46,877","7,825","2,307","1,666","3,139","3,831","632","1,772","39,052"
"Lake County, Illinois","","","","","","","","",""
"    Estimate","690,354","72,552","20,184","13,425","29,690","32,536","13,973","24,712","617,802"
"LaSalle County, Illinois","","","","","","","","",""
"    Estimate","105,386","15,790","4,103","2,517","4,982","8,933","2,261","5,183","89,596"
"Lee County, Illinois","","","","","","","","",""
"    Estimate","31,227","4,738","1,421","1,465","1,785","2,630","823","2,149","26,489"
"Livingston County, Illinois","","","","","","","","",""
"    Estimate","33,401","4,088","639","1,192","1,388","2,000","942","1,636","29,313"
"Logan County, Illinois","","","","","","","","",""
"    Estimate","25,125","3,672","913","599","1,401","1,414","398","1,244","21,453"
"McDonough County, Illinois","","","","","","","","",""
"    Estimate","26,496","4,545","1,042","1,257","2,056","1,955","917","1,603","21,951"
"McHenry County, Illinois","","","","","","","","",""
"    Estimate","311,013","29,579","7,241","4,088","10,455","11,479","3,748","9,888","281,434"
"McLean County, Illinois","","","","","","","","",""
"    Estimate","169,256","16,704","4,005","2,991","6,981","6,118","2,020","3,640","152,552"
"Macon County, Illinois","","","","","","","","",""
"    Estimate","99,028","16,624","3,959","3,255","6,806","8,383","2,869","5,379","82,404"
"Macoupin County, Illinois","","","","","","","","",""
"    Estimate","43,376","8,266","2,370","1,650","2,457","4,398","1,399","3,163","35,110"
"Madison County, Illinois","","","","","","","","",""
"    Estimate","260,208","37,610","9,958","6,113","12,350","20,858","5,911","14,917","222,598"
"Marion County, Illinois","","","","","","","","",""
"    Estimate","36,011","7,230","2,065","1,574","2,543","3,588","1,556","2,161","28,781"
"Monroe County, Illinois","","","","","","","","",""
"    Estimate","34,654","2,888","1,149","683","696","1,514","686","1,369","31,766"
"Montgomery County, Illinois","","","","","","","","",""
"    Estimate","25,364","4,186","1,579","857","1,518","2,117","596","1,666","21,178"
"Morgan County, Illinois","","","","","","","","",""
"    Estimate","30,836","5,346","1,404","760","2,343","2,685","910","2,164","25,490"
"Ogle County, Illinois","","","","","","","","",""
"    Estimate","50,771","7,391","2,470","1,222","2,507","3,348","1,100","2,410","43,380"
"Peoria County, Illinois","","","","","","","","",""
"    Estimate","175,436","26,518","5,658","5,280","12,575","11,966","5,821","10,546","148,918"
"Perry County, Illinois","","","","","","","","",""
"    Estimate","17,515","3,559","1,347","762","1,399","1,416","694","1,115","13,956"
"Randolph County, Illinois","","","","","","","","",""
"    Estimate","27,695","5,791","1,400","1,490","2,162","2,369","900","2,434","21,904"
"Rock Island County, Illinois","","","","","","","","",""
"    Estimate","138,789","23,687","7,415","3,768","8,163","9,740","3,188","7,791","115,102"
"St. Clair County, Illinois","","","","","","","","",""
"    Estimate","243,065","32,389","7,815","5,164","12,144","17,149","7,002","13,120","210,676"
"Saline County, Illinois","","","","","","","","",""
"    Estimate","22,431","6,355","2,023","781","3,414","2,735","1,427","2,219","16,076"
"Sangamon County, Illinois","","","","","","","","",""
"    Estimate","191,659","27,577","8,583","3,661","10,173","13,756","4,444","8,539","164,082"
"Shelby County, Illinois","","","","","","","","",""
"    Estimate","20,411","2,846","745","388","913","1,575","533","883","17,565"
"Stephenson County, Illinois","","","","","","","","",""
"    Estimate","42,391","6,062","1,377","849","2,191","3,624","864","2,452","36,329"
"Tazewell County, Illinois","","","","","","","","",""
"    Estimate","126,427","16,585","4,924","3,006","5,972","8,041","2,139","4,994","109,842"
"Vermilion County, Illinois","","","","","","","","",""
"    Estimate","68,577","12,086","3,129","1,384","4,440","7,640","2,377","5,300","56,491"
"Whiteside County, Illinois","","","","","","","","",""
"    Estimate","53,753","8,054","1,994","1,029","3,344","3,386","1,037","3,003","45,699"
"Will County, Illinois","","","","","","","","",""
"    Estimate","694,037","71,388","19,015","13,098","26,708","33,036","14,223","27,964","622,649"
"Williamson County, Illinois","","","","","","","","",""
"    Estimate","64,655","12,443","3,173","2,031","3,328","7,103","3,246","5,052","52,212"
"Winnebago County, Illinois","","","","","","","","",""
"    Estimate","277,681","42,478","9,778","7,543","15,921","22,410","8,753","16,849","235,203"
"Woodford County, Illinois","","","","","","","","",""
"    Estimate","37,716","4,339","1,086","842","1,050","2,451","929","1,498","33,377"