State,County,"Number of
Children Tested",Rate of Testing,"Number of
Children with
EBLLs","Rate of
Elevation"
TX,ANDERSON,258,7.08,27,10.47
TX,ANDREWS,84,4.53,< 5,SD
TX,ANGELINA,1161,16.44,9,0.78
TX,ARANSAS,92,6.39,0,0
TX,ARCHER,57,9.71,< 5,SD
TX,ARMSTRONG,7,5.98,< 5,SD
TX,ATASCOSA,653,16.04,10,1.53
TX,AUSTIN,322,15.8,10,3.11
TX,BAILEY,101,14.9,0,0
TX,BANDERA,99,9.38,< 5,SD
TX,BASTROP,825,10.76,13,1.58
TX,BAYLOR,35,14.58,< 5,SD
TX,BEE,309,15.65,< 5,SD
TX,BELL,6227,17.63,43,0.69
TX,BEXAR,18387,10.92,336,1.83
TX,BLANCO,50,8.49,0,0
TX,BORDEN,0,0,0,0
TX,BOSQUE,109,9.55,< 5,SD
TX,BOWIE,690,10.51,15,2.17
TX,BRAZORIA,3382,11.62,28,0.83
TX,BRAZOS,2547,14.2,21,0.82
TX,BREWSTER,9,1.52,0,0
TX,BRISCOE,< 5,~,0,0
TX,BROOKS,71,11.34,< 5,SD
TX,BROWN,97,3.82,< 5,SD
TX,BURLESON,268,20.86,< 5,SD
TX,BURNET,507,15.33,13,2.56
TX,CALDWELL,657,19.18,6,0.91
TX,CALHOUN,232,15.47,< 5,SD
TX,CALLAHAN,100,11.19,6,6
TX,CAMERON,9100,23.79,99,1.09
TX,CAMP,40,3.88,< 5,SD
TX,CARSON,19,5.94,0,0
TX,CASS,340,17.88,7,2.06
TX,CASTRO,115,17.29,< 5,SD
TX,CHAMBERS,478,11.71,5,1.05
TX,CHEROKEE,823,20.4,18,2.19
TX,CHILDRESS,82,22.1,< 5,SD
TX,CLAY,63,11.52,< 5,SD
TX,COCHRAN,51,22.97,< 5,SD
TX,COKE,35,15.56,0,0
TX,COLEMAN,46,9.33,0,0
TX,COLLIN,4763,6.02,58,1.22
TX,COLLINGSWORTH,35,17.95,0,0
TX,COLORADO,111,7.23,< 5,SD
TX,COMAL,947,8.31,8,0.84
TX,COMANCHE,146,14.57,8,5.48
TX,CONCHO,33,16.84,< 5,SD
TX,COOKE,174,5.28,9,5.17
TX,CORYELL,822,12.15,< 5,SD
TX,COTTLE,5,6.41,0,0
TX,CRANE,24,5.97,0,0
TX,CROCKETT,56,26.05,0,0
TX,CROSBY,50,13.89,< 5,SD
TX,CULBERSON,8,4.42,0,0
TX,DALLAM,118,15.23,0,0
TX,DALLAS,26671,11.9,383,1.44
TX,DAWSON,129,12.65,0,0
TX,DEAF SMITH,372,19.69,< 5,SD
TX,DELTA,64,15.38,0,0
TX,DENTON,3728,5.45,43,1.15
TX,DEWITT,113,8.15,< 5,SD
TX,DICKENS,8,9.3,0,0
TX,DIMMIT,231,32.86,< 5,SD
TX,DONLEY,33,16.84,0,0
TX,DUVAL,177,19.93,< 5,SD
TX,EASTLAND,151,12.26,9,5.96
TX,ECTOR,1145,6.87,5,0.44
TX,EDWARDS,22,22.45,0,0
TX,EL PASO,7024,9.27,75,1.07
TX,ELLIS,1176,7.43,8,0.68
TX,ERATH,324,10.24,< 5,SD
TX,FALLS,225,20.11,7,3.11
TX,FANNIN,333,15.01,11,3.3
TX,FAYETTE,91,6.05,< 5,SD
TX,FISHER,15,6.73,0,0
TX,FLOYD,42,9.88,< 5,SD
TX,FOARD,20,30.3,0,0
TX,FORT BEND,7416,12.13,42,0.57
TX,FRANKLIN,49,6.31,0,0
TX,FREESTONE,113,8.03,< 5,SD
TX,FRIO,216,16.29,< 5,SD
TX,GAINES,242,9.67,< 5,SD
TX,GALVESTON,3698,14.85,77,2.08
TX,GARZA,49,17.25,< 5,SD
TX,GILLESPIE,181,11.08,6,3.31
TX,GLASSCOCK,< 5,~,0,0
TX,GOLIAD,32,7.36,< 5,SD
TX,GONZALES,142,8.84,< 5,SD
TX,GRAY,264,17.62,< 5,SD
TX,GRAYSON,1588,15.48,21,1.32
TX,GREGG,1244,12.51,32,2.57
TX,GRIMES,351,17.7,< 5,SD
TX,GUADALUPE,1370,10.69,18,1.31
TX,HALE,260,10.01,5,1.92
TX,HALL,30,18.99,< 5,SD
TX,HAMILTON,45,8.4,0,0
TX,HANSFORD,26,5.43,0,0
TX,HARDEMAN,39,16.67,0,0
TX,HARDIN,430,10.79,6,1.4
TX,HARRIS,67159,16.6,790,1.18
TX,HARRISON,928,18.77,31,3.34
TX,HARTLEY,34,8.74,0,0
TX,HASKELL,40,14.34,< 5,SD
TX,HAYS,1665,8.52,17,1.02
TX,HEMPHILL,16,6.56,0,0
TX,HENDERSON,599,10.97,5,0.83
TX,HIDALGO,9042,10.47,108,1.19
TX,HILL,179,6.73,< 5,SD
TX,HOCKLEY,290,16.02,5,1.72
TX,HOOD,386,10.23,< 5,SD
TX,HOPKINS,349,12.35,15,4.3
TX,HOUSTON,119,8.74,< 5,SD
TX,HOWARD,59,2.41,< 5,SD
TX,HUDSPETH,39,19.4,< 5,SD
TX,HUNT,1336,17.49,24,1.8
TX,HUTCHINSON,135,8.89,< 5,SD
TX,IRION,15,16.13,0,0
TX,JACK,32,6.17,< 5,SD
TX,JACKSON,130,10.37,0,0
TX,JASPER,193,8.36,< 5,SD
TX,JEFF DAVIS,< 5,~,0,0
TX,JEFFERSON,2914,14.61,51,1.75
TX,JIM HOGG,45,12.26,0,0
TX,JIM WELLS,701,21.55,8,1.14
TX,JOHNSON,711,4.97,10,1.41
TX,JONES,133,13.08,< 5,SD
TX,KARNES,121,11.99,< 5,SD
TX,KAUFMAN,1700,12.43,20,1.18
TX,KENDALL,149,5.88,< 5,SD
TX,KENEDY,< 5,~,0,0
TX,KENT,6,12.5,< 5,SD
TX,KERR,585,17.09,13,2.22
TX,KIMBLE,31,9.78,0,0
TX,KING,0,0,0,0
TX,KINNEY,15,7.69,0,0
TX,KLEBERG,243,8.91,7,2.88
TX,KNOX,42,16.15,< 5,SD
TX,LA SALLE,55,12.47,< 5,SD
TX,LAMAR,723,18.57,32,4.43
TX,LAMB,133,12.51,< 5,SD
TX,LAMPASAS,146,10.5,< 5,SD
TX,LAVACA,130,8.92,5,3.85
TX,LEE,108,8.33,0,0
TX,LEON,113,9.99,0,0
TX,LIBERTY,1224,15.26,17,1.39
TX,LIMESTONE,211,13.53,< 5,SD
TX,LIPSCOMB,8,3.86,< 5,SD
TX,LIVE OAK,105,13.39,< 5,SD
TX,LLANO,181,15.92,6,3.31
TX,LOVING,< 5,~,0,0
TX,LUBBOCK,2451,9.63,26,1.06
TX,LYNN,23,5.24,< 5,SD
TX,MADISON,197,20.65,< 5,SD
TX,MARION,98,19.44,< 5,SD
TX,MARTIN,58,13.18,< 5,SD
TX,MASON,34,15.11,< 5,SD
TX,MATAGORDA,568,18.7,9,1.58
TX,MAVERICK,984,16.07,6,0.61
TX,MCCULLOCH,53,10.17,< 5,SD
TX,MCLENNAN,3527,16.68,96,2.72
TX,MCMULLEN,5,12.2,0,0
TX,MEDINA,365,10.28,5,1.37
TX,MENARD,24,22.02,0,0
TX,MIDLAND,2087,12.64,18,0.86
TX,MILAM,369,21.77,17,4.61
TX,MILLS,< 5,~,0,0
TX,MITCHELL,49,8.09,< 5,SD
TX,MONTAGUE,67,4.92,< 5,SD
TX,MONTGOMERY,5192,10.56,33,0.64
TX,MOORE,126,6.01,< 5,SD
TX,MORRIS,47,5.41,8,17.02
TX,MOTLEY,< 5,~,0,0
TX,NACOGDOCHES,404,7.74,8,1.98
TX,NAVARRO,671,15.25,15,2.24
TX,NEWTON,55,8.69,0,0
TX,NOLAN,135,12.12,6,4.44
TX,NUECES,3413,12.41,34,1
TX,OCHILTREE,82,9.4,< 5,SD
TX,OLDHAM,7,8.54,0,0
TX,ORANGE,873,13.98,12,1.37
TX,PALO PINTO,98,4.51,< 5,SD
TX,PANOLA,167,10.6,< 5,SD
TX,PARKER,854,7.6,6,0.7
TX,PARMER,94,10.88,< 5,SD
TX,PECOS,190,16.02,< 5,SD
TX,POLK,228,7.26,< 5,SD
TX,POTTER,1813,19.08,35,1.93
TX,PRESIDIO,8,1.37,0,0
TX,RAINS,66,8.66,< 5,SD
TX,RANDALL,810,7.61,9,1.11
TX,REAGAN,52,18.12,0,0
TX,REAL,38,22.35,< 5,SD
TX,RED RIVER,126,17.52,< 5,SD
TX,REEVES,183,17.75,5,2.73
TX,REFUGIO,52,11.09,< 5,SD
TX,ROBERTS,< 5,~,0,0
TX,ROBERTSON,200,16.26,< 5,SD
TX,ROCKWALL,614,7.45,< 5,SD
TX,RUNNELS,121,15.98,11,9.09
TX,RUSK,355,10.35,11,3.1
TX,SABINE,44,7.45,< 5,SD
TX,SAN AUGUSTINE,49,9.65,0,0
TX,SAN JACINTO,220,12.01,7,3.18
TX,SAN PATRICIO,720,12.94,11,1.53
TX,SAN SABA,42,11.11,< 5,SD
TX,SCHLEICHER,30,20.41,< 5,SD
TX,SCURRY,132,9.89,< 5,SD
TX,SHACKELFORD,31,15.27,< 5,SD
TX,SHELBY,121,5.95,< 5,SD
TX,SHERMAN,22,9.21,< 5,SD
TX,SMITH,1112,5.94,24,2.16
TX,SOMERVELL,32,5.52,0,0
TX,STARR,1157,16.56,18,1.56
TX,STEPHENS,87,13.04,< 5,SD
TX,STERLING,24,21.05,0,0
TX,STONEWALL,6,7.69,0,0
TX,SUTTON,38,14.79,< 5,SD
TX,SWISHER,52,10.61,< 5,SD
TX,TARRANT,14536,8.63,198,1.36
TX,TAYLOR,1476,11.79,30,2.03
TX,TERRELL,7,16.28,0,0
TX,TERRY,179,17.41,< 5,SD
TX,THROCKMORTON,10,9.62,< 5,SD
TX,TITUS,109,3.82,5,4.59
TX,TOM GREEN,1428,15.27,9,0.63
TX,TRAVIS,8770,8.73,87,0.99
TX,TRINITY,145,17.22,< 5,SD
TX,TYLER,72,6.29,< 5,SD
TX,UPSHUR,288,9.88,5,1.74
TX,UPTON,23,8.71,0,0
TX,UVALDE,370,16.89,5,1.35
TX,VAL VERDE,536,11.69,13,2.43
TX,VAN ZANDT,497,11.63,6,1.21
TX,VICTORIA,757,10.34,14,1.85
TX,WALKER,494,10.95,10,2.02
TX,WALLER,510,11.45,< 5,SD
TX,WARD,62,5.61,< 5,SD
TX,WASHINGTON,590,25.9,11,1.86
TX,WEBB,5072,18.66,63,1.24
TX,WHARTON,509,14.45,< 5,SD
TX,WHEELER,22,6.47,0,0
TX,WICHITA,1370,14.41,42,3.07
TX,WILBARGER,140,14.88,9,6.43
TX,WILLACY,429,28.64,15,3.5
TX,WILLIAMSON,3137,6.51,38,1.21
TX,WILSON,319,9.34,6,1.88
TX,WINKLER,46,6.71,< 5,SD
TX,WISE,145,2.86,< 5,SD
TX,WOOD,169,6.17,9,5.33
TX,YOAKUM,79,9.84,< 5,SD
TX,YOUNG,125,9.62,< 5,SD
TX,ZAPATA,210,16.17,< 5,SD
TX,ZAVALA,0,0,0,0
TX,UNKNOWN,15288,SD,37,0.24